interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,annotation,interaction_name_2,evidence,is_neurotransmitter,ligand.symbol,ligand.family,ligand.location,ligand.keyword,ligand.secreted_type,ligand.transmembrane,receptor.symbol,receptor.family,receptor.location,receptor.keyword,receptor.surfaceome_main,receptor.surfaceome_sub,receptor.adhesome,receptor.secreted_type,receptor.transmembrane,version
NAMPT_ITGA5_ITGB1,VISFATIN,NAMPT,ITGA5_ITGB1,,,,,Secreted Signaling,NAMPT - (ITGA5+ITGB1),PMID: 28490838,False,NAMPT,NAPRTase,"Cytoplasm, Secreted, Nucleus","Glycosyltransferase, Reference proteome, Biological rhythms, Pyridine nucleotide biosynthesis, Nucleus, Phosphoprotein, Secreted, Cytoplasm, 3D-structure, Transferase, Cytokine, Acetylation",,,"ITGA5, ITGB1","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell surface, Membrane, Cell junction, Ruffle membrane, Melanosome, Ruffle, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Endosome, Magnesium, Alternative splicing, Cell projection, Cell membrane, Acetylation, Isopeptide bond, Myogenesis, Ubl conjugation",Receptors,Integrin;Other_receptors,Adhesion receptor,,True,CellChatDB v1
RETN_CAP1,RESISTIN,RETN,CAP1,,,,,Secreted Signaling,RETN - CAP1,PMID: 30809105,False,RETN,Resistin/FIZZ,Secreted,"Signal, Reference proteome, Obesity, Disulfide bond, Secreted, Diabetes mellitus, Alternative splicing, Hormone",,,CAP1,CAP,Cell membrane,"Membrane, Reference proteome, Cell membrane, Phosphoprotein, Direct protein sequencing, Alternative splicing, Isopeptide bond, 3D-structure, Methylation, Actin-binding, Acetylation, Ubl conjugation",,,,,,CellChatDB v1
ADIPOQ_ADIPOR2,ADIPONECTIN,ADIPOQ,ADIPOR2,,,,,Secreted Signaling,ADIPOQ - ADIPOR2,PMID: 21284979,False,ADIPOQ,,Secreted,"Disease variant, Signal, Reference proteome, Collagen, Obesity, Pharmaceutical, Disulfide bond, Diabetes mellitus, Secreted, Direct protein sequencing, Repeat, 3D-structure, Hydroxylation, Hormone, Glycoprotein",hormone,False,ADIPOR2,ADIPOR,Cell membrane,"Membrane, Reference proteome, Cell membrane, Transmembrane helix, Metal-binding, Transmembrane, Lipid metabolism, Receptor, Zinc, 3D-structure, Fatty acid metabolism",Receptors,ADIPO-PAQR;Other_receptors,,,True,CellChatDB v1
ADIPOQ_ADIPOR1,ADIPONECTIN,ADIPOQ,ADIPOR1,,,,,Secreted Signaling,ADIPOQ - ADIPOR1,PMID: 21284979,False,ADIPOQ,,Secreted,"Disease variant, Signal, Reference proteome, Collagen, Obesity, Pharmaceutical, Disulfide bond, Diabetes mellitus, Secreted, Direct protein sequencing, Repeat, 3D-structure, Hydroxylation, Hormone, Glycoprotein",hormone,False,ADIPOR1,ADIPOR,Cell membrane,"Membrane, Reference proteome, Cell membrane, Transmembrane helix, Metal-binding, Transmembrane, Lipid metabolism, Receptor, Zinc, 3D-structure, Fatty acid metabolism",,,,,True,CellChatDB v1
SPP1_ITGA5_ITGB1,SPP1,SPP1,ITGA5_ITGB1,,,,,Secreted Signaling,SPP1 - (ITGA5+ITGB1),PMID: 21907263,False,SPP1,Osteopontin,Secreted,"Signal, Reference proteome, Phosphoprotein, Secreted, Biomineralization, Sialic acid, Direct protein sequencing, Alternative splicing, 3D-structure, Cell adhesion, Cytokine, Glycoprotein",cytokine,False,"ITGA5, ITGB1","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell surface, Membrane, Cell junction, Ruffle membrane, Melanosome, Ruffle, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Endosome, Magnesium, Alternative splicing, Cell projection, Cell membrane, Acetylation, Isopeptide bond, Myogenesis, Ubl conjugation",Receptors,Integrin;Other_receptors,Adhesion receptor,,True,CellChatDB v1
SPP1_ITGA8_ITGB1,SPP1,SPP1,ITGA8_ITGB1,,,,,Secreted Signaling,SPP1 - (ITGA8+ITGB1),PMID: 21907263,False,SPP1,Osteopontin,Secreted,"Signal, Reference proteome, Phosphoprotein, Secreted, Biomineralization, Sialic acid, Direct protein sequencing, Alternative splicing, 3D-structure, Cell adhesion, Cytokine, Glycoprotein",cytokine,False,"ITGA8, ITGB1","Integrin alpha chain, Integrin beta chain","Cell membrane, Membrane, Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell surface, Cell junction","Membrane, Disulfide bond, Differentiation, Transmembrane, Receptor, Neurogenesis, Glycoprotein, Disease variant, Developmental protein, Signal, Integrin, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Calcium, Cleavage on pair of basic residues, Cell adhesion, Repeat, Host-virus interaction, Endosome, Host cell receptor for virus entry, Magnesium, Alternative splicing, Cell projection, Phosphoprotein, Direct protein sequencing, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Myogenesis, Ubl conjugation",Receptors,Integrin;Other_receptors,Adhesion receptor,,True,CellChatDB v1
ANGPTL1_ITGA1_ITGB1,ANGPTL,ANGPTL1,ITGA1_ITGB1,,,,,Secreted Signaling,ANGPTL1 - (ITGA1+ITGB1),PMID: 24478758,False,ANGPTL1,,Secreted,"Coiled coil, Secreted, Signal, Reference proteome, Disulfide bond, Glycoprotein",,,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation",Receptors,Integrin;Other_receptors,Adhesion receptor,,True,CellChatDB v1
SPP1_ITGA9_ITGB1,SPP1,SPP1,ITGA9_ITGB1,,,,,Secreted Signaling,SPP1 - (ITGA9+ITGB1),PMID: 21907263,False,SPP1,Osteopontin,Secreted,"Signal, Reference proteome, Phosphoprotein, Secreted, Biomineralization, Sialic acid, Direct protein sequencing, Alternative splicing, 3D-structure, Cell adhesion, Cytokine, Glycoprotein",cytokine,False,"ITGA9, ITGB1","Integrin alpha chain, Integrin beta chain","Membrane, Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction","Membrane, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Disulfide bond, Transmembrane, Direct protein sequencing, Calcium, Receptor, Glycoprotein, Cell adhesion, Repeat, Host-virus interaction, Endosome, Host cell receptor for virus entry, Magnesium, Alternative splicing, Cell projection, Cell membrane, Phosphoprotein, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Myogenesis, Ubl conjugation",Receptors,Integrin;Other_receptors,Adhesion receptor,,True,CellChatDB v1
ANGPTL4_SDC1,ANGPTL,ANGPTL4,SDC1,,,,,Secreted Signaling,ANGPTL4 - SDC1,PMID: 29017031,False,ANGPTL4,,"Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein",,,SDC1,Syndecan proteoglycan,"Secreted, Extracellular exosome, Membrane","Membrane, Signal, Reference proteome, Transmembrane helix, Phosphoprotein, Secreted, Heparan sulfate, Transmembrane, 3D-structure, Proteoglycan, Glycoprotein",Receptors,Other_receptors;Syndecan,,secreted,True,CellChatDB v1
ANGPTL4_SDC3,ANGPTL,ANGPTL4,SDC3,,,,,Secreted Signaling,ANGPTL4 - SDC3,PMID: 29017031,False,ANGPTL4,,"Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein",,,SDC3,Syndecan proteoglycan,Cell membrane,"Membrane, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transmembrane, Heparan sulfate, Proteoglycan, Glycoprotein",,,,,,CellChatDB v1
PTN_SDC1,PTN,PTN,SDC1,,,,,Secreted Signaling,PTN - SDC1,PMID: 28356350; PMID: 25620911,False,PTN,Pleiotrophin,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, 3D-structure, Heparin-binding",growth factor,False,SDC1,Syndecan proteoglycan,"Secreted, Extracellular exosome, Membrane","Membrane, Signal, Reference proteome, Transmembrane helix, Phosphoprotein, Secreted, Heparan sulfate, Transmembrane, 3D-structure, Proteoglycan, Glycoprotein",Receptors,Other_receptors;Syndecan,,secreted,True,CellChatDB v1
PTN_PTPRZ1,PTN,PTN,PTPRZ1,,,,,Secreted Signaling,PTN - PTPRZ1,PMID: 28356350; PMID: 25620911,False,PTN,Pleiotrophin,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, 3D-structure, Heparin-binding",growth factor,False,PTPRZ1,Protein-tyrosine phosphatase,"Cell membrane, Secreted","Membrane, Disulfide bond, Secreted, Transmembrane, Alternative splicing, Glycoprotein, Signal, Hydrolase, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Protein phosphatase, 3D-structure, Proteoglycan, Repeat",Receptors,Other_receptors;ReceptorTypePhosphatases,,secreted,True,CellChatDB v1
MDK_ALK,MK,MDK,ALK,,,,,Secreted Signaling,MDK - ALK,PMID: 19459784,False,MDK,Pleiotrophin,Secreted,"Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Mitogen, Growth factor, Direct protein sequencing, Alternative splicing, 3D-structure, Heparin-binding",growth factor,False,ALK,"Protein kinase superfamily, Tyr protein kinase",Cell membrane,"Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Tyrosine-protein kinase, Transferase, Glycoprotein, Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Proto-oncogene, Cell membrane, Transmembrane helix, Phosphoprotein, 3D-structure, Nucleotide-binding, Repeat",Unclassified,Unclassified,,,True,CellChatDB v1
MDK_NCL,MK,MDK,NCL,,,,,Secreted Signaling,MDK - NCL,PMID: 28356350,False,MDK,Pleiotrophin,Secreted,"Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Mitogen, Growth factor, Direct protein sequencing, Alternative splicing, 3D-structure, Heparin-binding",growth factor,False,NCL,,"Cytoplasm, Nucleus, Nucleolus","Ubl conjugation, RNA-binding, Reference proteome, DNA-binding, Nucleus, Phosphoprotein, Direct protein sequencing, Cytoplasm, Isopeptide bond, 3D-structure, Methylation, Acetylation, Repeat",,,,,,CellChatDB v1
MDK_LRP1,MK,MDK,LRP1,,,,,Secreted Signaling,MDK - LRP1,PMID: 28356350,False,MDK,Pleiotrophin,Secreted,"Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Mitogen, Growth factor, Direct protein sequencing, Alternative splicing, 3D-structure, Heparin-binding",growth factor,False,LRP1,LDLR,"Cytoplasm, Membrane, Nucleus, Cell membrane, Coated pit","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Receptor, Cytoplasm, Alternative splicing, EGF-like domain, Glycoprotein, Disease variant, Endocytosis, Developmental protein, Signal, Reference proteome, Metal-binding, Transmembrane helix, Cell membrane, Nucleus, Phosphoprotein, Direct protein sequencing, Calcium, Cytoskeleton, Golgi apparatus, Coated pit, 3D-structure, Acetylation, Repeat",Receptors,LDLR;Other_receptors,Adhesion receptor,,,CellChatDB v1
MDK_ITGA6_ITGB1,MK,MDK,ITGA6_ITGB1,,,,,Secreted Signaling,MDK - (ITGA6+ITGB1),PMID: 28356350,False,MDK,Pleiotrophin,Secreted,"Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Mitogen, Growth factor, Direct protein sequencing, Alternative splicing, 3D-structure, Heparin-binding",growth factor,False,"ITGA6, ITGB1","Integrin alpha chain, Integrin beta chain","Cell membrane, Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell surface, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Host-virus interaction, Endosome, Host cell receptor for virus entry, Magnesium, Cell projection, Acetylation, Isopeptide bond, Cell junction, Myogenesis, Ubl conjugation",Receptors,Integrin;Other_receptors,Adhesion receptor,,True,CellChatDB v1
MDK_ITGA4_ITGB1,MK,MDK,ITGA4_ITGB1,,,,,Secreted Signaling,MDK - (ITGA4+ITGB1),PMID: 28356350,False,MDK,Pleiotrophin,Secreted,"Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Mitogen, Growth factor, Direct protein sequencing, Alternative splicing, 3D-structure, Heparin-binding",growth factor,False,"ITGA4, ITGB1","Integrin alpha chain, Integrin beta chain","Membrane, Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Calcium, 3D-structure, Cell adhesion, Repeat, Host-virus interaction, Endosome, Host cell receptor for virus entry, Magnesium, Cell projection, Cell membrane, Acetylation, Isopeptide bond, Cell junction, Myogenesis, Ubl conjugation",Receptors,Integrin;Other_receptors,Adhesion receptor,,True,CellChatDB v1
ANGPTL4_SDC2,ANGPTL,ANGPTL4,SDC2,,,,,Secreted Signaling,ANGPTL4 - SDC2,PMID: 29017031,False,ANGPTL4,,"Extracellular matrix, Secreted, Extracellular space","Coiled coil, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Lipid metabolism, Direct protein sequencing, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein",,,SDC2,Syndecan proteoglycan,Membrane,"Membrane, Signal, Reference proteome, Transmembrane helix, Phosphoprotein, Differentiation, Heparan sulfate, Transmembrane, Neurogenesis, 3D-structure, Proteoglycan, Glycoprotein",Receptors,Other_receptors;Syndecan,Adhesion receptor,secreted,True,CellChatDB v1
MDK_PTPRZ1,MK,MDK,PTPRZ1,,,,,Secreted Signaling,MDK - PTPRZ1,PMID: 28356350,False,MDK,Pleiotrophin,Secreted,"Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Mitogen, Growth factor, Direct protein sequencing, Alternative splicing, 3D-structure, Heparin-binding",growth factor,False,PTPRZ1,Protein-tyrosine phosphatase,"Cell membrane, Secreted","Membrane, Disulfide bond, Secreted, Transmembrane, Alternative splicing, Glycoprotein, Signal, Hydrolase, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Protein phosphatase, 3D-structure, Proteoglycan, Repeat",Receptors,Other_receptors;ReceptorTypePhosphatases,,secreted,True,CellChatDB v1
MDK_SDC2,MK,MDK,SDC2,,,,,Secreted Signaling,MDK - SDC2,PMID: 28356350,False,MDK,Pleiotrophin,Secreted,"Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Mitogen, Growth factor, Direct protein sequencing, Alternative splicing, 3D-structure, Heparin-binding",growth factor,False,SDC2,Syndecan proteoglycan,Membrane,"Membrane, Signal, Reference proteome, Transmembrane helix, Phosphoprotein, Differentiation, Heparan sulfate, Transmembrane, Neurogenesis, 3D-structure, Proteoglycan, Glycoprotein",Receptors,Other_receptors;Syndecan,Adhesion receptor,secreted,True,CellChatDB v1
MDK_SDC1,MK,MDK,SDC1,,,,,Secreted Signaling,MDK - SDC1,PMID: 28356350,False,MDK,Pleiotrophin,Secreted,"Signal, Developmental protein, Reference proteome, Disulfide bond, Differentiation, Secreted, Mitogen, Growth factor, Direct protein sequencing, Alternative splicing, 3D-structure, Heparin-binding",growth factor,False,SDC1,Syndecan proteoglycan,"Secreted, Extracellular exosome, Membrane","Membrane, Signal, Reference proteome, Transmembrane helix, Phosphoprotein, Secreted, Heparan sulfate, Transmembrane, 3D-structure, Proteoglycan, Glycoprotein",Receptors,Other_receptors;Syndecan,,secreted,True,CellChatDB v1
ANGPT2_ITGA5_ITGB1,ANGPT,ANGPT2,ITGA5_ITGB1,,,,ANGPT inhibition receptor 2,Secreted Signaling,ANGPT2 - (ITGA5+ITGB1),PMID: 20651738; PMID: 25635707,False,ANGPT2,,Secreted,"Disease variant, Coiled coil, Signal, Developmental protein, Reference proteome, Metal-binding, Disulfide bond, Secreted, Differentiation, Calcium, Angiogenesis, Alternative splicing, 3D-structure, Glycoprotein",secreted,False,"ITGA5, ITGB1","Integrin alpha chain, Integrin beta chain","Focal adhesion, Cell surface, Membrane, Cell junction, Ruffle membrane, Melanosome, Ruffle, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Host cell receptor for virus entry, Receptor, Glycoprotein, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, 3D-structure, Cell junction, Cell adhesion, Repeat, Endosome, Magnesium, Alternative splicing, Cell projection, Cell membrane, Acetylation, Isopeptide bond, Myogenesis, Ubl conjugation",Receptors,Integrin;Other_receptors,Adhesion receptor,,True,CellChatDB v1
